btr_id,name,exchange,ticker,country
08661,Luxottica,BIT,LUX,IT
08671,LVMH Moet Hennessy,EURONEXT,MC,FR
08681,LX International,KRX,001120,KR
08691,LY Corporation,TSE,4689,JP
08701,LyondellBasell,NYSE,LYB,US
08711,M&T Bank,NYSE,MTB,US
08721,M3,TSE,2413,JP
08731,Macquarie,ASX,MQG,AU
08741,Manulife Financial,TSX,MFC,CA
08751,Marathon Petroleum,NYSE,MPC,US
08761,Markel,NYSE,MKL,US
08771,MarketAxess,NASDAQ,MKTX,US
08781,Marks & Spencer,LSE,MKS,GB
08791,Marriott International,NASDAQ,MAR,US
08801,Marsh McLennan,NYSE,MMC,US
08811,Martin Marietta Materials,NYSE,MLM,US
08821,Marubeni,TSE,8002,JP
08831,Marui,TSE,8252,JP
08841,Marvell Technology,NASDAQ,MRVL,US
08851,Masco,NYSE,MAS,US
08861,Mastercard,NYSE,MA,US
08871,Match,NASDAQ,MTCH,US
08881,Mazda Motor,TSE,7261,JP
08891,McCormick & Co,NYSE,MKC,US
08901,McDonald's,NYSE,MCD,US
08911,McKesson Corporation,NYSE,MCK,US
08921,Medtronic,NYSE,MDT,IE
08931,Meiji,TSE,2269,JP
08941,Meituan,HKEX,3690,HK
08951,Mengniu Dairy,HKEX,2319,HK
08961,MercadoLibre,NASDAQ,MELI,US
08971,Mercari,TSE,4385,JP
08981,Mercedes-Benz,FWB,MBG,DE
08991,Merck,FWB,MRK,DE
09001,Merck & Co,NYSE,MRK,US
09011,Merck KGaA Stamm,FWB,MRK,DE
09021,Meritz Financial,KRX,138040,KR
09031,Meta Platforms,NASDAQ,META,US
09041,MetLife,NYSE,MET,US
09051,Mettler Toledo,NYSE,MTD,US
09061,MGM Resorts,NYSE,MGM,US
09071,Michelin,EURONEXT,ML,FR
09081,Microchip Technology,NASDAQ,MCHP,US
09091,Micron Technology,NASDAQ,MU,US
09101,Microsoft,NASDAQ,MSFT,US
09111,MicroStrategy,NASDAQ,MSTR,US
09121,Mid-America Apartment Communities,NYSE,MAA,US
09131,MinebeaMitsumi,TSE,6479,JP
09141,Mirae Asset Securities,KRX,006800,KR
09151,Mitsubishi,TSE,8058,JP
09161,Mitsubishi Chemical,TSE,4188,JP
09171,Mitsubishi Electric,TSE,6503,JP
09181,Mitsubishi Estate,TSE,8802,JP
09191,Mitsubishi Heavy Industries,TSE,7011,JP
09201,Mitsubishi Logistics,TSE,9301,JP
09211,Mitsubishi Materials,TSE,5711,JP
09221,Mitsubishi Motors,TSE,7211,JP
09231,Mitsubishi UFJ Financial,TSE,8306,JP
